Rank,Driver,Car,Fastest lap,Gap,On lap
1,Valtteri Bottas,Mercedes,1’35.861,,50
2,Lewis Hamilton,Mercedes,1’35.916,0.055,50
3,Sebastian Vettel,Ferrari,1’35.990,0.129,50
4,Max Verstappen,Red Bull-TAG Heuer,1’36.283,0.422,45
5,Daniel Ricciardo,Red Bull-TAG Heuer,1’36.345,0.484,41
6,Kimi Raikkonen,Ferrari,1’36.611,0.75,47
7,Marcus Ericsson,Sauber-Ferrari,1’37.931,2.07,39
8,Kevin Magnussen,Haas-Ferrari,1’38.015,2.154,52
9,Charles Leclerc,Sauber-Ferrari,1’38.107,2.246,52
10,Romain Grosjean,Haas-Ferrari,1’38.244,2.383,46
11,Sergio Perez,Force India-Mercedes,1’38.300,2.439,47
12,Esteban Ocon,Force India-Mercedes,1’38.366,2.505,52
13,Nico Hulkenberg,Renault,1’39.108,3.247,52
14,Lance Stroll,Williams-Mercedes,1’39.435,3.574,44
15,Fernando Alonso,McLaren-Renault,1’39.590,3.729,44
16,Carlos Sainz Jnr,Renault,1’39.731,3.87,35
17,Sergey Sirotkin,Williams-Mercedes,1’39.838,3.977,43
18,Stoffel Vandoorne,McLaren-Renault,1’39.922,4.061,41
19,Pierre Gasly,Toro Rosso-Honda,1’44.071,8.21,3
20,Brendon Hartley,Toro Rosso-Honda,1’45.852,9.991,2
