Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Started,Classified,Completed,Full season laps led,Driver's season laps led
Lewis Hamilton,313,197,184,94,106,32,3,2,6,4,2,1,2,1,1,0,1,0,0,0,16,15,14,313/958 (32.67%),313/949 (32.98%)
Valtteri Bottas,75,336,115,124,93,23,14,39,14,13,6,7,16,9,4,4,0,5,0,0,16,15,13,75/958 (7.83%),75/897 (8.36%)
Daniel Ricciardo,95,23,50,126,193,183,16,6,3,4,5,19,10,8,5,25,11,2,2,0,16,10,9,95/958 (9.92%),95/786 (12.09%)
Max Verstappen,81,107,250,144,101,36,1,12,34,20,10,5,5,7,0,0,2,4,2,0,16,13,11,81/958 (8.46%),81/821 (9.87%)
Sebastian Vettel,341,194,157,86,83,15,24,10,4,5,6,2,1,0,4,1,6,3,0,0,16,15,14,341/958 (35.59%),341/942 (36.2%)
Kimi Raikkonen,53,101,180,279,111,103,7,1,5,3,4,3,1,2,3,2,1,0,0,0,16,13,12,53/958 (5.53%),53/859 (6.17%)
Sergio Perez,0,0,12,26,18,37,63,49,98,75,75,90,58,125,89,32,33,21,22,1,16,15,8,0/958 (0%),0/924 (0%)
Esteban Ocon,0,0,0,6,39,76,117,66,80,71,72,86,46,72,15,5,4,2,1,2,16,12,7,0/958 (0%),0/760 (0%)
Sergey Sirotkin,0,0,0,0,0,0,0,0,16,22,44,38,27,63,104,138,141,151,73,2,16,13,2,0/958 (0%),0/819 (0%)
Lance Stroll,0,0,0,0,0,0,4,38,22,28,58,63,66,110,111,106,126,45,37,44,16,14,4,0/958 (0%),0/858 (0%)
Fernando Alonso,0,0,0,0,34,10,108,124,83,73,83,71,24,53,41,40,35,21,6,0,16,12,5,0/958 (0%),0/806 (0%)
Stoffel Vandoorne,0,0,0,0,0,1,6,31,60,27,51,67,137,63,89,145,103,65,33,22,16,14,5,0/958 (0%),0/900 (0%)
Carlos Sainz Jnr,0,0,8,8,15,39,61,180,139,183,99,62,56,23,18,36,7,0,0,0,16,15,7,0/958 (0%),0/934 (0%)
Pierre Gasly,0,0,2,29,39,66,37,26,57,44,63,63,68,62,55,46,18,22,26,17,16,12,7,0/958 (0%),0/740 (0%)
Romain Grosjean,0,0,0,10,43,78,46,99,70,68,101,68,58,35,38,20,22,56,7,7,16,11,4,0/958 (0%),0/826 (0%)
Kevin Magnussen,0,0,0,21,53,139,149,106,59,51,27,36,60,11,54,50,44,34,20,0,16,15,8,0/958 (0%),0/914 (0%)
Nico Hulkenberg,0,0,0,4,19,94,231,68,55,69,53,37,43,33,18,7,10,1,0,0,16,12,7,0/958 (0%),0/742 (0%)
Brendon Hartley,0,0,0,0,4,1,1,8,27,21,64,85,90,80,76,66,66,47,25,38,16,11,2,0/958 (0%),0/699 (0%)
Marcus Ericsson,0,0,0,0,0,8,4,32,42,71,71,81,71,102,128,67,108,59,17,10,16,14,4,0/958 (0%),0/871 (0%)
Charles Leclerc,0,0,0,0,6,15,61,54,76,96,53,63,107,81,50,39,33,30,22,8,16,13,5,0/958 (0%),0/794 (0%)
